ID,姓名,拼音,八字评分,五格评分,命主星宿,命宫,笔划数,重名数,女生占比,男生占比,性别偏向,总分
﻿9,王朗江,lǎngjiāng,59.5,81.5,（轸）宿,坎宫（东四命）,16,1人,女生0.00%,男生100.00%,男,141.0
﻿17,王翰臻,hànzhēn,41.5,71.5,（轸）宿,坎宫（东四命）,32,1人,女生0.00%,男生100.00%,男,113.0
﻿15,王平泉,píngquán,54.5,73,（轸）宿,坎宫（东四命）,14,10人,女生10.00%,男生90.00%,男,127.5
﻿18,王和涛,hétāo,55,73.5,（轸）宿,坎宫（东四命）,18,22人,女生0.00%,男生100.00%,男,128.5
﻿38,王本鹏,běnpéng,50.5,68.5,（轸）宿,坎宫（东四命）,18,26人,女生3.85%,男生96.15%,男,119.0
﻿35,王永霖,yǒnglín,56,82,（轸）宿,坎宫（东四命）,21,24人,女生0.00%,男生100.00%,男,138.0
﻿37,王献雨,xiànyǔ,71.5,89.5,（轸）宿,坎宫（东四命）,21,5人,女生20.00%,男生80.00%,男,161.0
﻿43,王雄桂,xióngguì,68.5,90.5,（轸）宿,坎宫（东四命）,22,13人,女生0.00%,男生100.00%,男,159.0
﻿48,王连雨,liányǔ,64,86,（轸）宿,坎宫（东四命）,15,10人,女生20.00%,男生80.00%,男,150.0
﻿50,王裕浩,yùhào,79.5,79.5,（轸）宿,坎宫（东四命）,22,5人,女生0.00%,男生100.00%,男,159.0
﻿53,王永传,yǒngchuán,45.5,68.5,（轸）宿,坎宫（东四命）,11,29人,女生0.00%,男生100.00%,男,114.0
﻿55,王洛义,luòyì,53.5,75.5,（轸）宿,坎宫（东四命）,12,1人,女生0.00%,男生100.00%,男,129.0
﻿65,王生震,shēngzhèn,77.5,77.5,（轸）宿,坎宫（东四命）,20,23人,女生0.00%,男生100.00%,男,155.0
﻿63,王辰淇,chénqí,68,94,（轸）宿,坎宫（东四命）,18,1人,女生0.00%,男生100.00%,男,162.0
﻿79,王稼源,jiàyuán,63.5,81.5,（轸）宿,坎宫（东四命）,28,6人,女生0.00%,男生100.00%,男,145.0
﻿78,王传清,chuánqīng,69,91,（轸）宿,坎宫（东四命）,17,32人,女生9.38%,男生90.62%,男,160.0
﻿81,王兴磊,xìnglěi,37.5,67.5,（轸）宿,坎宫（东四命）,21,191人,女生3.14%,男生96.86%,男,105.0
﻿88,王龙会,lónghuì,55,77,（轸）宿,坎宫（东四命）,11,22人,女生40.91%,男生59.09%,男,132.0
﻿83,王雪波,xuěbō,71,89.5,（轸）宿,坎宫（东四命）,19,113人,女生39.82%,男生60.18%,男,160.5
﻿89,王思行,sīxíng,89.5,89.5,（轸）宿,坎宫（东四命）,15,76人,女生17.11%,男生82.89%,男,179.0
﻿98,王宣泽,xuānzé,94.5,94.5,（轸）宿,坎宫（东四命）,17,15人,女生0.00%,男生100.00%,男,189.0
﻿92,王统海,tǒnghǎi,74,92,（轸）宿,坎宫（东四命）,19,3人,女生0.00%,男生100.00%,男,166.0
﻿95,王烨霖,yèlín,49.5,71.5,（轸）宿,坎宫（东四命）,26,65人,女生23.08%,男生76.92%,男,121.0
﻿101,王丁涵,dīnghán,66.5,88.5,（轸）宿,坎宫（东四命）,13,6人,女生33.33%,男生66.67%,男,155.0
﻿106,王柯蒙,kēméng,77,95,（轸）宿,坎宫（东四命）,22,8人,女生25.00%,男生75.00%,男,172.0
